zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
55368,78.971,49.0725794,0.881111111111111,Norwood,MN,44.756883,-93.91666
55369,46.261,28.7465854,0.581388888888889,Osseo,MN,45.120764,-93.43183
55371,97.709,60.7163726,1.12333333333333,Princeton,MN,45.576431,-93.57644
55372,47.525,29.532035,0.563611111111111,Prior Lake,MN,44.704646,-93.42139
55373,60.411,37.5393954,0.744166666666667,Rockford,MN,45.087513,-93.73548
55374,60.918,37.8544452,0.706666666666667,Rogers,MN,45.197646,-93.57104
55375,60.503,37.5965642,0.783333333333333,Saint Bonifacius,MN,44.906512,-93.7439
55376,69.169,42.9816166,0.802222222222222,Saint Michael,MN,45.20382,-93.67618
55378,36.528,22.6984992,0.489166666666667,Savage,MN,44.761796,-93.3722
55379,54.583,33.9178762,0.680833333333333,Shakopee,MN,44.776138,-93.52556
55381,100.659,62.5495026,1.20194444444444,Silver Lake,MN,44.904987,-94.18802
55382,117.041,72.7292774,1.41,South Haven,MN,45.299358,-94.19821
55384,47.717,29.6513438,0.630555555555556,Spring Park,MN,44.936423,-93.62868
55385,131.982,82.0136148,1.44361111111111,Stewart,MN,44.724926,-94.49346
55386,55.32,34.375848,0.713055555555556,Victoria,MN,44.858595,-93.66341
55387,66.959,41.6083226,0.778611111111111,Waconia,MN,44.849912,-93.78514
55388,65.496,40.6992144,0.8225,Watertown,MN,44.955136,-93.84467
55390,76.744,47.6887216,0.964444444444444,Waverly,MN,45.066811,-93.97836
55391,41.383,25.7153962,0.576388888888889,Wayzata,MN,44.963063,-93.52912
55395,84.47,52.489658,1.09277777777778,Winsted,MN,44.960829,-94.05525
55396,134.525,83.593835,1.43277777777778,Winthrop,MN,44.536882,-94.36811
55397,81.432,50.6018448,0.990555555555556,Young America,MN,44.801162,-93.92368
55398,80.602,50.0860828,0.980555555555556,Zimmerman,MN,45.455085,-93.57873
55401,16.168,10.0467952,0.304722222222222,Minneapolis,MN,44.984615,-93.27137
55402,15.434,9.5906876,0.268888888888889,Minneapolis,MN,44.975565,-93.27053
55403,16.59,10.309026,0.216666666666667,Minneapolis,MN,44.971765,-93.28557
